"","stars","word","n"
"1","4","food",367
"2","4","servic",274
"3","4.5","food",214
"4","4","love",175
"5","4","wine",173
"6","4","amaz",165
"7","4.5","servic",163
"8","4","clam",129
"9","4","delici",127
"10","4","hour",122
"11","4","happi",118
"12","3.5","food",116
"13","4.5","love",110
"14","4","awesom",107
"15","4","view",106
"16","4","drink",105
"17","4.5","wine",102
"18","4","chowder",99
"19","4","wait",97
"20","4","tast",94
"21","4","nice",91
"22","3.5","servic",89
"23","4","friend",89
"24","4","crab",88
"25","4","excel",79
"26","4","seafood",79
"27","4","atmospher",78
"28","4.5","amaz",78
"29","4","bar",75
"30","4","time",75
"31","4","beer",71
"32","4","staff",71
"33","4","restaur",66
"34","4.5","delici",66
"35","4","recommend",62
"36","4.5","beer",60
"37","4","salad",59
"38","4","day",57
"39","4","fresh",57
"40","4","spot",57
"41","4.5","atmospher",57
"42","4","santa",56
"43","4.5","tast",55
"44","4","barbara",54
"45","4","menu",54
"46","4","seat",54
"47","4.5","drink",54
"48","4","free",52
"49","4.5","awesom",52
"50","4","lobster",50
"51","4","pizza",49
"52","4","yummi",49
"53","4.5","friend",49
"54","3.5","happi",47
"55","4","dinner",47
"56","4","favorit",47
"57","4","fri",47
"58","4","oyster",47
"59","4.5","nice",47
"60","3.5","hour",46
"61","4","fun",46
"62","4","sb",46
"63","4","tabl",46
"64","4","eat",45
"65","4","enjoy",45
"66","4.5","excel",45
"67","4","burger",44
"68","4","check",43
"69","4","perfect",43
"70","4.5","hour",43
"71","4.5","staff",43
"72","4","fish",42
"73","4","local",41
"74","4","cake",39
"75","4","lunch",39
"76","4","patio",39
"77","4","special",39
"78","4.5","menu",39
"79","4","locat",38
"80","4","price",38
"81","3.5","amaz",37
"82","3.5","nice",36
"83","4","wonder",36
"84","4.5","happi",36
"85","3.5","delici",35
"86","4","chicken",35
"87","4","reserv",35
"88","4","taco",35
"89","4.5","burger",35
"90","4","chees",34
"91","4","peopl",34
"92","4","shrimp",34
"93","4","town",34
"94","4","cool",33
"95","4","worth",33
"96","4.5","santa",33
"97","4","5",32
"98","4","cute",32
"99","4","fantast",32
