,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,7,0,100.0
1,-e8RwknT5szoLk9uBZjzcw,4.0,1,0,100.0
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,33,1,97.05882352941177
3,0CHIbqSkGWBr2KMkIUocEA,3.5,214,16,93.04347826086956
4,0ac5lGA_0wdKDnib3y59Xg,4.0,117,4,96.69421487603306
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,50,1,98.03921568627452
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,28,1,96.55172413793103
7,1FURjeGJi_LBXcJQg8eskw,4.5,216,5,97.73755656108597
8,1xsBRB203LiYLcC3mktfdA,4.0,0,0,
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,72,4,94.73684210526316
10,2l-spLLGUzRiZg8dF623Nw,4.0,26,2,92.85714285714286
11,2nk4hq2oRfym8ROQ5iS47g,4.5,7,0,100.0
12,3Wy21heeDm8h2tSZfcj6OA,4.5,273,10,96.46643109540636
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,53,1,98.14814814814815
14,4FdsX3MbkcdBRAr1aymF6A,4.5,13,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,8,0,100.0
16,4KAuy-zNBxD9QvnkldwEww,4.0,3,0,100.0
17,4kfbEcAMepvkjt3H7INYBg,4.5,6,0,100.0
18,4xhGQGdGqU60BIznBjqnuA,4.0,14,0,100.0
19,52ov7d0148JvYG78_c-Bsw,4.0,39,2,95.1219512195122
20,5bDjg02rlg6ODEUT-UQT-A,3.5,4,0,100.0
21,5uNCvNy9L6peKeKP1RRPyg,3.5,89,76,53.93939393939394
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,78,7,91.76470588235294
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,83,5,94.31818181818181
24,7yR4oQcapZBKCkRLB3Isig,2.5,57,9,86.36363636363636
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,44,0,100.0
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,236,5,97.9253112033195
27,9xW7LsJpyhVZFRb6z9xorg,4.0,47,2,95.91836734693878
28,A7Uwcr1BjasB6BWke1hrfA,5.0,1,0,100.0
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,6,0,100.0
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,4,1,80.0
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,0,0,
32,DD3TxygdxBxKh9gbjCuLDA,4.5,39,0,100.0
33,DOfiulOub9hVPBCtiDl9Fw,4.0,75,4,94.9367088607595
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,1,0,100.0
35,DcRfabRzYkddMEUFyPMBgw,3.0,4,0,100.0
36,E6HHiJMCpTkjOsSly3kzeA,4.5,3,0,100.0
37,EZc2myE2mYk2h9JK9qu8gw,4.5,246,5,98.00796812749005
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,90,11,89.10891089108911
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,34,1,97.14285714285714
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,22,0,100.0
41,FpNhzu3w0XgyedhOLDuK8g,4.5,93,1,98.93617021276596
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,9,0,100.0
43,H-1qpp_77KggOAr9htUrEw,4.0,117,11,91.40625
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,91,6,93.81443298969072
45,HJ_rOClY2RPrdervYopKmQ,4.0,18,0,100.0
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,9,0,100.0
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,10,0,100.0
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,33,0,100.0
49,IljCDlZnTftfZEruqa4sRQ,4.0,2,0,100.0
50,KSYONgGtrK0nKXfroB-bwg,4.5,189,6,96.92307692307692
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,41,0,100.0
52,L9QTAucz_in5f-ufCrvb1Q,3.5,14,1,93.33333333333333
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,4,0,100.0
54,LtxG9DTXCFpteVkD4SGBlw,4.0,0,1,0.0
55,LuPK46HMxRYEVTXVbBCR1g,4.0,141,6,95.91836734693878
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,
57,MAIfD4kJDCydgoD1l2b_vw,4.0,4,2,66.66666666666667
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,2,0,100.0
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,116,8,93.54838709677419
60,POSwCH5XrPTMRILJaNAjAQ,5.0,0,0,
61,PPcz-0UtIJ8O7xDT551y2g,4.5,41,1,97.61904761904762
62,PgtqA056auCp5EbcZMbXPQ,3.5,89,6,93.6842105263158
63,QBNATcq7Stx9LxcSq16W7w,4.5,0,0,
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,61,5,92.42424242424242
65,R93mEcQ1pjq7q3LzShi3ow,5.0,15,1,93.75
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,61,3,95.3125
67,RzgQioExrGZDkY3vNuziOQ,4.0,0,0,
68,S8saWaZlToeNoloR2fMrAQ,4.5,1,0,100.0
69,SZU9c8V2GuREDN5KgyHFJw,4.0,333,29,91.98895027624309
70,SeneXbKmhHhPtzyTDPDnvA,4.0,5,1,83.33333333333333
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,15,0,100.0
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,149,10,93.71069182389937
73,U3grYFIeu6RgAAQgdriHww,4.0,453,27,94.375
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,96,8,92.3076923076923
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,2,0,100.0
76,USVks6B2Xkf0WLmLIiXqMA,3.5,89,7,92.70833333333333
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,
78,VJKpVv_l1g943WK6fxwZKQ,3.5,2,0,100.0
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,12,4,75.0
80,Vg0oTgDyRwi73D5zRywrlg,4.0,0,0,
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,24,0,100.0
82,Y57sylYCgq2VQJuBCnjPfA,4.0,92,7,92.92929292929293
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,56,7,88.88888888888889
84,ZKi4F9BlA46rLvLyeIE3VA,3.5,37,1,97.36842105263158
