,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,8,1,88.88888888888889
1,-e8RwknT5szoLk9uBZjzcw,4.0,21,1,95.45454545454545
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,62,1,98.41269841269842
3,0CHIbqSkGWBr2KMkIUocEA,3.5,122,3,97.6
4,0ac5lGA_0wdKDnib3y59Xg,4.0,61,0,100.0
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,57,3,95.0
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,48,0,100.0
7,1FURjeGJi_LBXcJQg8eskw,4.5,276,5,98.22064056939502
8,1xsBRB203LiYLcC3mktfdA,4.0,28,0,100.0
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,58,2,96.66666666666667
10,2l-spLLGUzRiZg8dF623Nw,4.0,28,3,90.3225806451613
11,2nk4hq2oRfym8ROQ5iS47g,4.5,73,0,100.0
12,3Wy21heeDm8h2tSZfcj6OA,4.5,250,10,96.15384615384616
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,51,2,96.22641509433963
14,4FdsX3MbkcdBRAr1aymF6A,4.5,8,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,18,2,90.0
16,4KAuy-zNBxD9QvnkldwEww,4.0,22,0,100.0
17,4kfbEcAMepvkjt3H7INYBg,4.5,58,1,98.30508474576271
18,4xhGQGdGqU60BIznBjqnuA,4.0,11,0,100.0
19,52ov7d0148JvYG78_c-Bsw,4.0,41,1,97.61904761904762
20,5bDjg02rlg6ODEUT-UQT-A,3.5,6,0,100.0
21,5uNCvNy9L6peKeKP1RRPyg,3.5,82,13,86.3157894736842
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,53,5,91.37931034482759
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,70,1,98.59154929577464
24,7yR4oQcapZBKCkRLB3Isig,2.5,27,3,90.0
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,34,0,100.0
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,183,6,96.82539682539682
27,9xW7LsJpyhVZFRb6z9xorg,4.0,30,1,96.7741935483871
28,A7Uwcr1BjasB6BWke1hrfA,5.0,3,0,100.0
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,10,0,100.0
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,100,1,99.00990099009901
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,4,0,100.0
32,DD3TxygdxBxKh9gbjCuLDA,4.5,16,0,100.0
33,DOfiulOub9hVPBCtiDl9Fw,4.0,158,2,98.75
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,14,0,100.0
35,DcRfabRzYkddMEUFyPMBgw,3.0,2,1,66.66666666666667
36,E6HHiJMCpTkjOsSly3kzeA,4.5,45,2,95.74468085106383
37,EZc2myE2mYk2h9JK9qu8gw,4.5,198,8,96.11650485436893
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,149,3,98.02631578947368
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,30,0,100.0
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,29,0,100.0
41,FpNhzu3w0XgyedhOLDuK8g,4.5,85,1,98.83720930232558
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,3,1,75.0
43,H-1qpp_77KggOAr9htUrEw,4.0,50,2,96.15384615384616
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,112,5,95.72649572649573
45,HJ_rOClY2RPrdervYopKmQ,4.0,30,1,96.7741935483871
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,11,0,100.0
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,1,0,100.0
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,38,1,97.43589743589743
49,IljCDlZnTftfZEruqa4sRQ,4.0,14,2,87.5
50,KSYONgGtrK0nKXfroB-bwg,4.5,168,1,99.40828402366864
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,23,0,100.0
52,L9QTAucz_in5f-ufCrvb1Q,3.5,35,2,94.5945945945946
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,7,0,100.0
54,LtxG9DTXCFpteVkD4SGBlw,4.0,82,3,96.47058823529412
55,LuPK46HMxRYEVTXVbBCR1g,4.0,92,3,96.84210526315789
56,M2i4sAuljONUy-BSBonkzg,5.0,7,0,100.0
57,MAIfD4kJDCydgoD1l2b_vw,4.0,75,1,98.6842105263158
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,17,1,94.44444444444444
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,126,6,95.45454545454545
60,POSwCH5XrPTMRILJaNAjAQ,5.0,12,0,100.0
61,PPcz-0UtIJ8O7xDT551y2g,4.5,31,0,100.0
62,PgtqA056auCp5EbcZMbXPQ,3.5,36,0,100.0
63,QBNATcq7Stx9LxcSq16W7w,4.5,20,0,100.0
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,104,1,99.04761904761905
65,R93mEcQ1pjq7q3LzShi3ow,5.0,19,0,100.0
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,53,2,96.36363636363636
67,RzgQioExrGZDkY3vNuziOQ,4.0,5,0,100.0
68,S8saWaZlToeNoloR2fMrAQ,4.5,20,0,100.0
69,SZU9c8V2GuREDN5KgyHFJw,4.0,560,18,96.88581314878893
70,SeneXbKmhHhPtzyTDPDnvA,4.0,28,1,96.55172413793103
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,14,0,100.0
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,241,2,99.17695473251028
73,U3grYFIeu6RgAAQgdriHww,4.0,664,28,95.95375722543352
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,42,0,100.0
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,13,0,100.0
76,USVks6B2Xkf0WLmLIiXqMA,3.5,102,4,96.22641509433963
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,
78,VJKpVv_l1g943WK6fxwZKQ,3.5,6,0,100.0
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,10,0,100.0
80,Vg0oTgDyRwi73D5zRywrlg,4.0,8,0,100.0
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,52,0,100.0
82,Y57sylYCgq2VQJuBCnjPfA,4.0,75,4,94.9367088607595
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,93,6,93.93939393939394
84,ZKi4F9BlA46rLvLyeIE3VA,3.5,81,3,96.42857142857143
85,_P-0kP5DboEd5p0OqDorFA,4.5,16,0,100.0
86,_dNk5IpkVVyN2nWMXTA2eA,4.5,9,0,100.0
87,apmw_lkLdwWbeYiI9ysdJg,4.5,28,1,96.55172413793103
88,b5hxsRw76UUXcotxlCipuQ,3.5,55,3,94.82758620689656
89,c-W17u2jiFOD2H_d6uo-bQ,4.5,43,0,100.0
90,cAbdvzqtFLaAAMFIyPf2AA,4.0,96,6,94.11764705882354
91,cQDwJjslebJv5Co7gCm2Yw,4.0,24,0,100.0
92,c_a38vt6v2tRq-VjdTZHZw,4.0,7,0,100.0
93,cyaDjqjhtRbpd5Og5dFoZg,2.5,0,1,0.0
94,d0E938M2_4kcuULUdnj-Xw,4.5,52,1,98.11320754716981
95,df_UStxBFDYNSd-ngoR1-w,4.5,19,0,100.0
96,dutm97q2F4a6RV6YQ0uLHw,5.0,8,0,100.0
97,e76uCbhmK8oqAtYAkxB2Qg,4.5,14,0,100.0
98,eHRzuUXA2jrR99ecioWU4g,3.5,75,2,97.40259740259741
99,eL4lyE7LNoXEMvpcJ8WNVw,4.0,110,2,98.21428571428571
100,eX7o_-s5TmDT-DMfTV4cmw,4.0,72,4,94.73684210526316
101,fO89arPgWzq_1YYQYLS4Yw,4.5,9,0,100.0
102,fiQxkb1pfPpvrr0oYYYBcA,5.0,18,0,100.0
103,fnGZspqyamRremXor0sAyg,4.0,5,0,100.0
104,fqStx0SvwMFChX_HIdUeEQ,4.0,57,1,98.27586206896552
105,g0lCOgLkkByZrhmwYzP5KA,4.5,7,0,100.0
106,g6VJ6y-AzDGQy0Gj91UvUw,4.0,3,0,100.0
107,gLNf3zUydIKc_cvUll-6gw,5.0,4,0,100.0
108,gYrHa4CckDjgOQc5B-yTKA,4.0,26,1,96.29629629629629
109,gdEZfd6RFXYmmXX71RDvbA,4.5,49,0,100.0
110,gkqfm6mTim9Rwopwjayc8w,5.0,3,0,100.0
111,iBBV8vesQ8fo2IQA7an1JA,4.0,156,5,96.8944099378882
112,iBTc6XKgW5HESEZIii-G4g,4.5,31,0,100.0
113,ixROUxJqrczeYUT0z0MCHg,5.0,4,0,100.0
114,j1yb8y-jFwpG_hW9AH3PrQ,5.0,32,0,100.0
115,j8c8WFqySY1eybnkJfgjSg,4.0,4,0,100.0
116,jKocMyXjEqgb9dL9S5vrEA,4.0,28,2,93.33333333333333
117,jMlE4wvspc0J-oN-SYUjQw,4.5,18,0,100.0
118,j_m8zce-jSRQn5JmC633GQ,4.5,58,1,98.30508474576271
119,jfRq1KtjEGyPoMo9HZVw2Q,3.5,1,0,100.0
120,kBqyg_L_Xn9jQTCHYODbRg,5.0,15,0,100.0
121,krTxH1a9kzWgwvt3PVH8pQ,4.5,52,0,100.0
122,kwqXOtLCbNjgvwuMj4H1AQ,4.5,12,0,100.0
123,kwtKZ3fzM5jlR8Z7KIA17g,5.0,5,0,100.0
124,l6rgXoUfz4Wh_lAGxDiNaA,5.0,0,0,
125,m4xrhESFLaA7PiddXeg2aw,3.5,39,1,97.5
126,nhOMsw22-rz9kXSKwBZYAQ,4.0,4,0,100.0
127,o4IiNbNybcy-L4vzTSoDJw,4.0,139,4,97.2027972027972
128,oGDGlUbOjHxmmCh8ZYcDCg,4.0,286,8,97.27891156462584
129,oTcezJoCe30NrwiNFsoLXQ,4.5,24,0,100.0
130,oinV9xrSkR3b_T8sK1nsqg,3.5,50,1,98.03921568627452
131,omnCKxL0f_akh0eYeJxjDg,4.0,95,3,96.93877551020408
132,pKSB4wXLiS8rd1cAEgD8oA,4.5,18,0,100.0
133,pQh2GzkAnbLKiDqEpxcylQ,5.0,3,0,100.0
134,pqF3WkYktbR28uk2PSR7Rg,4.0,81,2,97.59036144578313
135,q-1ICFSqs2MwDGfe5tX-SQ,4.0,95,2,97.9381443298969
136,q75UQjNm6AEK4XNnkDLxTQ,4.0,25,1,96.15384615384616
137,qUyU8Amr1NjuE3TBFs2n4A,5.0,0,0,
138,qVitsouI4aBiYx1_Fjn0Pg,4.0,58,2,96.66666666666667
