,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,0,0,
1,-e8RwknT5szoLk9uBZjzcw,4.0,10,0,100.0
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,13,3,81.25
3,0CHIbqSkGWBr2KMkIUocEA,3.5,39,4,90.69767441860465
4,0ac5lGA_0wdKDnib3y59Xg,4.0,11,0,100.0
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,15,0,100.0
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,12,0,100.0
7,1FURjeGJi_LBXcJQg8eskw,4.5,75,3,96.15384615384616
8,1xsBRB203LiYLcC3mktfdA,4.0,7,0,100.0
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,14,1,93.33333333333333
10,2l-spLLGUzRiZg8dF623Nw,4.0,7,2,77.77777777777777
11,2nk4hq2oRfym8ROQ5iS47g,4.5,6,0,100.0
12,3Wy21heeDm8h2tSZfcj6OA,4.5,111,3,97.36842105263158
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,20,0,100.0
14,4FdsX3MbkcdBRAr1aymF6A,4.5,2,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,4,0,100.0
16,4KAuy-zNBxD9QvnkldwEww,4.0,1,1,50.0
17,4kfbEcAMepvkjt3H7INYBg,4.5,13,1,92.85714285714286
18,4xhGQGdGqU60BIznBjqnuA,4.0,8,0,100.0
19,52ov7d0148JvYG78_c-Bsw,4.0,14,1,93.33333333333333
20,5bDjg02rlg6ODEUT-UQT-A,3.5,0,0,
21,5uNCvNy9L6peKeKP1RRPyg,3.5,23,2,92.0
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,30,1,96.7741935483871
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,23,1,95.83333333333333
24,7yR4oQcapZBKCkRLB3Isig,2.5,9,1,90.0
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,15,0,100.0
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,46,3,93.87755102040816
27,9xW7LsJpyhVZFRb6z9xorg,4.0,12,1,92.3076923076923
28,A7Uwcr1BjasB6BWke1hrfA,5.0,4,0,100.0
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,3,0,100.0
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,8,0,100.0
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,3,0,100.0
32,DD3TxygdxBxKh9gbjCuLDA,4.5,1,0,100.0
33,DOfiulOub9hVPBCtiDl9Fw,4.0,20,1,95.23809523809524
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,0,0,
35,DcRfabRzYkddMEUFyPMBgw,3.0,1,0,100.0
36,E6HHiJMCpTkjOsSly3kzeA,4.5,2,0,100.0
37,EZc2myE2mYk2h9JK9qu8gw,4.5,38,1,97.43589743589743
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,27,1,96.42857142857143
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,13,1,92.85714285714286
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,4,0,100.0
41,FpNhzu3w0XgyedhOLDuK8g,4.5,17,1,94.44444444444444
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,2,0,100.0
43,H-1qpp_77KggOAr9htUrEw,4.0,21,0,100.0
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,16,1,94.11764705882354
45,HJ_rOClY2RPrdervYopKmQ,4.0,7,0,100.0
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,1,0,100.0
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,0,0,
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,5,0,100.0
49,IljCDlZnTftfZEruqa4sRQ,4.0,0,0,
50,KSYONgGtrK0nKXfroB-bwg,4.5,30,4,88.23529411764706
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,4,0,100.0
52,L9QTAucz_in5f-ufCrvb1Q,3.5,3,0,100.0
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,4,0,100.0
54,LtxG9DTXCFpteVkD4SGBlw,4.0,8,0,100.0
55,LuPK46HMxRYEVTXVbBCR1g,4.0,33,3,91.66666666666667
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,
57,MAIfD4kJDCydgoD1l2b_vw,4.0,10,1,90.9090909090909
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,2,0,100.0
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,62,6,91.17647058823529
60,POSwCH5XrPTMRILJaNAjAQ,5.0,0,0,
61,PPcz-0UtIJ8O7xDT551y2g,4.5,7,3,70.0
62,PgtqA056auCp5EbcZMbXPQ,3.5,17,1,94.44444444444444
63,QBNATcq7Stx9LxcSq16W7w,4.5,4,0,100.0
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,39,4,90.69767441860465
65,R93mEcQ1pjq7q3LzShi3ow,5.0,6,0,100.0
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,39,6,86.66666666666667
67,RzgQioExrGZDkY3vNuziOQ,4.0,1,0,100.0
68,S8saWaZlToeNoloR2fMrAQ,4.5,4,1,80.0
69,SZU9c8V2GuREDN5KgyHFJw,4.0,156,19,89.14285714285714
70,SeneXbKmhHhPtzyTDPDnvA,4.0,11,0,100.0
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,4,0,100.0
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,68,5,93.15068493150685
73,U3grYFIeu6RgAAQgdriHww,4.0,152,5,96.81528662420382
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,7,2,77.77777777777777
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,1,0,100.0
76,USVks6B2Xkf0WLmLIiXqMA,3.5,29,2,93.54838709677419
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,
78,VJKpVv_l1g943WK6fxwZKQ,3.5,3,0,100.0
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,3,0,100.0
80,Vg0oTgDyRwi73D5zRywrlg,4.0,1,0,100.0
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,4,1,80.0
82,Y57sylYCgq2VQJuBCnjPfA,4.0,24,3,88.88888888888889
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,20,2,90.9090909090909
