,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,4,0,100.0
1,-e8RwknT5szoLk9uBZjzcw,4.0,16,5,76.19047619047619
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,21,0,100.0
3,0CHIbqSkGWBr2KMkIUocEA,3.5,142,18,88.75
4,0ac5lGA_0wdKDnib3y59Xg,4.0,83,12,87.36842105263158
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,42,3,93.33333333333333
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,38,3,92.6829268292683
7,1FURjeGJi_LBXcJQg8eskw,4.5,55,3,94.82758620689656
8,1xsBRB203LiYLcC3mktfdA,4.0,24,4,85.71428571428571
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,65,9,87.83783783783784
10,2l-spLLGUzRiZg8dF623Nw,4.0,22,2,91.66666666666667
11,2nk4hq2oRfym8ROQ5iS47g,4.5,16,0,100.0
12,3Wy21heeDm8h2tSZfcj6OA,4.5,349,19,94.83695652173913
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,66,5,92.95774647887323
14,4FdsX3MbkcdBRAr1aymF6A,4.5,13,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,9,1,90.0
16,4KAuy-zNBxD9QvnkldwEww,4.0,7,4,63.63636363636363
17,4kfbEcAMepvkjt3H7INYBg,4.5,40,3,93.02325581395348
18,4xhGQGdGqU60BIznBjqnuA,4.0,6,0,100.0
19,52ov7d0148JvYG78_c-Bsw,4.0,25,0,100.0
20,5bDjg02rlg6ODEUT-UQT-A,3.5,7,1,87.5
21,5uNCvNy9L6peKeKP1RRPyg,3.5,72,20,78.26086956521739
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,63,12,84.0
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,85,5,94.44444444444444
24,7yR4oQcapZBKCkRLB3Isig,2.5,22,16,57.89473684210526
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,21,1,95.45454545454545
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,194,15,92.82296650717703
27,9xW7LsJpyhVZFRb6z9xorg,4.0,43,2,95.55555555555556
28,A7Uwcr1BjasB6BWke1hrfA,5.0,1,0,100.0
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,2,0,100.0
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,21,4,84.0
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,1,0,100.0
32,DD3TxygdxBxKh9gbjCuLDA,4.5,12,0,100.0
33,DOfiulOub9hVPBCtiDl9Fw,4.0,40,4,90.9090909090909
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,2,1,66.66666666666667
35,DcRfabRzYkddMEUFyPMBgw,3.0,1,0,100.0
36,E6HHiJMCpTkjOsSly3kzeA,4.5,4,0,100.0
37,EZc2myE2mYk2h9JK9qu8gw,4.5,199,14,93.42723004694835
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,86,5,94.50549450549451
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,38,1,97.43589743589743
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,16,4,80.0
41,FpNhzu3w0XgyedhOLDuK8g,4.5,104,4,96.29629629629629
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,3,0,100.0
43,H-1qpp_77KggOAr9htUrEw,4.0,99,12,89.1891891891892
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,89,17,83.9622641509434
45,HJ_rOClY2RPrdervYopKmQ,4.0,11,5,68.75
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,3,0,100.0
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,7,0,100.0
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,18,0,100.0
49,IljCDlZnTftfZEruqa4sRQ,4.0,0,0,
50,KSYONgGtrK0nKXfroB-bwg,4.5,187,11,94.44444444444444
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,30,0,100.0
52,L9QTAucz_in5f-ufCrvb1Q,3.5,6,1,85.71428571428571
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,5,0,100.0
54,LtxG9DTXCFpteVkD4SGBlw,4.0,14,1,93.33333333333333
55,LuPK46HMxRYEVTXVbBCR1g,4.0,71,22,76.34408602150538
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,
57,MAIfD4kJDCydgoD1l2b_vw,4.0,23,4,85.18518518518519
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,12,1,92.3076923076923
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,122,15,89.05109489051095
60,POSwCH5XrPTMRILJaNAjAQ,5.0,3,0,100.0
61,PPcz-0UtIJ8O7xDT551y2g,4.5,32,2,94.11764705882354
62,PgtqA056auCp5EbcZMbXPQ,3.5,43,9,82.6923076923077
63,QBNATcq7Stx9LxcSq16W7w,4.5,20,1,95.23809523809524
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,66,2,97.05882352941177
65,R93mEcQ1pjq7q3LzShi3ow,5.0,12,1,92.3076923076923
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,69,14,83.13253012048193
67,RzgQioExrGZDkY3vNuziOQ,4.0,0,1,0.0
68,S8saWaZlToeNoloR2fMrAQ,4.5,17,0,100.0
69,SZU9c8V2GuREDN5KgyHFJw,4.0,299,26,92.0
