,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,0,0,
1,-e8RwknT5szoLk9uBZjzcw,4.0,1,0,100.0
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,7,0,100.0
3,0CHIbqSkGWBr2KMkIUocEA,3.5,23,5,82.14285714285714
4,0ac5lGA_0wdKDnib3y59Xg,4.0,18,1,94.73684210526316
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,4,1,80.0
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,13,0,100.0
7,1FURjeGJi_LBXcJQg8eskw,4.5,42,1,97.67441860465117
8,1xsBRB203LiYLcC3mktfdA,4.0,1,0,100.0
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,5,2,71.42857142857143
10,2l-spLLGUzRiZg8dF623Nw,4.0,4,0,100.0
11,2nk4hq2oRfym8ROQ5iS47g,4.5,0,0,
12,3Wy21heeDm8h2tSZfcj6OA,4.5,45,4,91.83673469387755
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,5,0,100.0
14,4FdsX3MbkcdBRAr1aymF6A,4.5,5,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,0,0,
16,4KAuy-zNBxD9QvnkldwEww,4.0,0,1,0.0
17,4kfbEcAMepvkjt3H7INYBg,4.5,4,0,100.0
18,4xhGQGdGqU60BIznBjqnuA,4.0,0,0,
19,52ov7d0148JvYG78_c-Bsw,4.0,2,0,100.0
20,5bDjg02rlg6ODEUT-UQT-A,3.5,0,0,
21,5uNCvNy9L6peKeKP1RRPyg,3.5,9,1,90.0
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,14,4,77.77777777777777
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,14,0,100.0
24,7yR4oQcapZBKCkRLB3Isig,2.5,17,6,73.91304347826087
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,1,1,50.0
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,49,3,94.23076923076923
27,9xW7LsJpyhVZFRb6z9xorg,4.0,7,1,87.5
28,A7Uwcr1BjasB6BWke1hrfA,5.0,0,0,
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,1,0,100.0
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,8,0,100.0
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,0,0,
32,DD3TxygdxBxKh9gbjCuLDA,4.5,3,0,100.0
33,DOfiulOub9hVPBCtiDl9Fw,4.0,11,0,100.0
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,0,0,
35,DcRfabRzYkddMEUFyPMBgw,3.0,0,0,
36,E6HHiJMCpTkjOsSly3kzeA,4.5,0,0,
37,EZc2myE2mYk2h9JK9qu8gw,4.5,45,7,86.53846153846153
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,19,2,90.47619047619048
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,6,1,85.71428571428571
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,2,0,100.0
41,FpNhzu3w0XgyedhOLDuK8g,4.5,13,2,86.66666666666667
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,0,0,
43,H-1qpp_77KggOAr9htUrEw,4.0,14,0,100.0
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,19,0,100.0
45,HJ_rOClY2RPrdervYopKmQ,4.0,1,0,100.0
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,0,0,
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,0,0,
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,1,1,50.0
49,IljCDlZnTftfZEruqa4sRQ,4.0,0,0,
50,KSYONgGtrK0nKXfroB-bwg,4.5,37,3,92.5
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,2,1,66.66666666666667
52,L9QTAucz_in5f-ufCrvb1Q,3.5,0,1,0.0
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,0,0,
54,LtxG9DTXCFpteVkD4SGBlw,4.0,0,0,
55,LuPK46HMxRYEVTXVbBCR1g,4.0,21,5,80.76923076923077
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,
57,MAIfD4kJDCydgoD1l2b_vw,4.0,0,0,
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,1,0,100.0
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,13,1,92.85714285714286
60,POSwCH5XrPTMRILJaNAjAQ,5.0,0,0,
61,PPcz-0UtIJ8O7xDT551y2g,4.5,4,0,100.0
62,PgtqA056auCp5EbcZMbXPQ,3.5,9,0,100.0
63,QBNATcq7Stx9LxcSq16W7w,4.5,3,0,100.0
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,7,3,70.0
65,R93mEcQ1pjq7q3LzShi3ow,5.0,1,0,100.0
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,7,0,100.0
67,RzgQioExrGZDkY3vNuziOQ,4.0,0,0,
68,S8saWaZlToeNoloR2fMrAQ,4.5,1,0,100.0
69,SZU9c8V2GuREDN5KgyHFJw,4.0,81,2,97.59036144578313
70,SeneXbKmhHhPtzyTDPDnvA,4.0,1,0,100.0
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,0,0,
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,39,1,97.5
73,U3grYFIeu6RgAAQgdriHww,4.0,102,5,95.32710280373831
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,5,0,100.0
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,0,0,
76,USVks6B2Xkf0WLmLIiXqMA,3.5,22,2,91.66666666666667
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,
78,VJKpVv_l1g943WK6fxwZKQ,3.5,0,0,
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,2,1,66.66666666666667
80,Vg0oTgDyRwi73D5zRywrlg,4.0,0,0,
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,3,3,50.0
82,Y57sylYCgq2VQJuBCnjPfA,4.0,20,2,90.9090909090909
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,14,0,100.0
84,ZKi4F9BlA46rLvLyeIE3VA,3.5,7,0,100.0
85,_P-0kP5DboEd5p0OqDorFA,4.5,0,0,
86,_dNk5IpkVVyN2nWMXTA2eA,4.5,0,0,
87,apmw_lkLdwWbeYiI9ysdJg,4.5,1,0,100.0
88,b5hxsRw76UUXcotxlCipuQ,3.5,13,4,76.47058823529412
89,c-W17u2jiFOD2H_d6uo-bQ,4.5,1,0,100.0
90,cAbdvzqtFLaAAMFIyPf2AA,4.0,17,0,100.0
91,cQDwJjslebJv5Co7gCm2Yw,4.0,2,1,66.66666666666667
92,c_a38vt6v2tRq-VjdTZHZw,4.0,1,0,100.0
93,cyaDjqjhtRbpd5Og5dFoZg,2.5,0,0,
94,d0E938M2_4kcuULUdnj-Xw,4.5,3,0,100.0
95,df_UStxBFDYNSd-ngoR1-w,4.5,2,0,100.0
96,dutm97q2F4a6RV6YQ0uLHw,5.0,1,0,100.0
97,e76uCbhmK8oqAtYAkxB2Qg,4.5,0,0,
98,eHRzuUXA2jrR99ecioWU4g,3.5,4,0,100.0
99,eL4lyE7LNoXEMvpcJ8WNVw,4.0,7,0,100.0
100,eX7o_-s5TmDT-DMfTV4cmw,4.0,20,4,83.33333333333333
101,fO89arPgWzq_1YYQYLS4Yw,4.5,0,0,
102,fiQxkb1pfPpvrr0oYYYBcA,5.0,1,0,100.0
103,fnGZspqyamRremXor0sAyg,4.0,0,0,
104,fqStx0SvwMFChX_HIdUeEQ,4.0,23,1,95.83333333333333
105,g0lCOgLkkByZrhmwYzP5KA,4.5,4,0,100.0
106,g6VJ6y-AzDGQy0Gj91UvUw,4.0,1,0,100.0
107,gLNf3zUydIKc_cvUll-6gw,5.0,0,0,
108,gYrHa4CckDjgOQc5B-yTKA,4.0,1,0,100.0
109,gdEZfd6RFXYmmXX71RDvbA,4.5,1,0,100.0
110,gkqfm6mTim9Rwopwjayc8w,5.0,0,0,
111,iBBV8vesQ8fo2IQA7an1JA,4.0,39,2,95.1219512195122
112,iBTc6XKgW5HESEZIii-G4g,4.5,1,0,100.0
113,ixROUxJqrczeYUT0z0MCHg,5.0,0,0,
114,j1yb8y-jFwpG_hW9AH3PrQ,5.0,1,0,100.0
115,j8c8WFqySY1eybnkJfgjSg,4.0,3,0,100.0
116,jKocMyXjEqgb9dL9S5vrEA,4.0,10,0,100.0
117,jMlE4wvspc0J-oN-SYUjQw,4.5,1,0,100.0
118,j_m8zce-jSRQn5JmC633GQ,4.5,9,0,100.0
119,jfRq1KtjEGyPoMo9HZVw2Q,3.5,4,0,100.0
120,kBqyg_L_Xn9jQTCHYODbRg,5.0,1,0,100.0
121,krTxH1a9kzWgwvt3PVH8pQ,4.5,7,1,87.5
122,kwqXOtLCbNjgvwuMj4H1AQ,4.5,1,0,100.0
123,kwtKZ3fzM5jlR8Z7KIA17g,5.0,0,0,
124,l6rgXoUfz4Wh_lAGxDiNaA,5.0,0,0,
125,m4xrhESFLaA7PiddXeg2aw,3.5,8,1,88.88888888888889
126,nhOMsw22-rz9kXSKwBZYAQ,4.0,0,0,
127,o4IiNbNybcy-L4vzTSoDJw,4.0,46,5,90.19607843137256
128,oGDGlUbOjHxmmCh8ZYcDCg,4.0,145,6,96.02649006622516
129,oTcezJoCe30NrwiNFsoLXQ,4.5,8,0,100.0
130,oinV9xrSkR3b_T8sK1nsqg,3.5,8,2,80.0
131,omnCKxL0f_akh0eYeJxjDg,4.0,11,0,100.0
132,pKSB4wXLiS8rd1cAEgD8oA,4.5,0,0,
133,pQh2GzkAnbLKiDqEpxcylQ,5.0,0,0,
134,pqF3WkYktbR28uk2PSR7Rg,4.0,11,0,100.0
135,q-1ICFSqs2MwDGfe5tX-SQ,4.0,5,1,83.33333333333333
136,q75UQjNm6AEK4XNnkDLxTQ,4.0,3,0,100.0
137,qUyU8Amr1NjuE3TBFs2n4A,5.0,3,0,100.0
138,qVitsouI4aBiYx1_Fjn0Pg,4.0,2,0,100.0
139,r2IhvKZQ_wLR5mLBnPOilg,4.5,15,0,100.0
140,s-iUpeKVCuPd5m4OJ3HixQ,4.0,0,0,
141,sZHLbLnw1vwHF1xDzuV1iw,4.5,0,0,
142,sj2o49ZCq2iJlZxDNrHDaA,4.5,3,1,75.0
143,sjWf71VmU5HIwqX8RGCLJw,4.5,1,0,100.0
144,sk0IM8koYo1o9-k_rpkmxQ,4.5,1,0,100.0
145,sz5SMsTOTAshdfsaK98-TA,4.0,11,0,100.0
146,tZnPqmwGcLjYeBdwyvhazg,4.0,1,0,100.0
147,thlyktt2c7v1DyOpSVSibw,4.0,29,5,85.29411764705883
148,tthy48ZIX_wfY8Dy0Dvg6w,4.5,112,2,98.24561403508773
149,vgDl4_ZjoLLIU2ZPL83GIg,4.0,0,0,
150,vsrryxBR2Jykl71qa1H6SQ,4.0,6,0,100.0
151,w8AxfAjNq7wU5jHmpLSpNg,3.5,1,1,50.0
152,wK2IixmZUOEFGz1QZqR99Q,4.0,0,0,
153,wMZAnrfwV-qHiV5zdTSrzw,4.0,12,2,85.71428571428571
154,x2ly0NsSTMmMpljpdIZdYA,4.5,42,3,93.33333333333333
155,xRapA2lG7mjJ6eOqHmxe-A,4.0,4,0,100.0
156,xTYLUPg8Xg-z3cYoPpcJqQ,4.5,0,0,
157,yLqFm4epPkbkPpan9gmEjA,4.0,0,0,
158,ySRkAFddd1tCUzRDjbECdg,4.0,0,0,
159,ycbmvmBYk4w_ZmdrPL0tBQ,4.0,9,2,81.81818181818181
160,ywXa1pDqHPe9tOPx0yJFUg,3.0,0,0,
161,zbrIMldF_O1ZQ0vpUaaa8A,4.0,34,1,97.14285714285714
162,zkMqKD6IZPcU10g0a2APmg,4.5,0,0,
