,business_id,stars,positive_count,negative_count,sentiment_score_%
0,-BdYhP-12elmFV7oB1iv4A,5.0,0,0,
1,-e8RwknT5szoLk9uBZjzcw,4.0,0,0,
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,0,0,
3,0CHIbqSkGWBr2KMkIUocEA,3.5,17,6,73.91304347826087
4,0ac5lGA_0wdKDnib3y59Xg,4.0,15,1,93.75
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,3,0,100.0
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,3,0,100.0
7,1FURjeGJi_LBXcJQg8eskw,4.5,0,0,
8,1xsBRB203LiYLcC3mktfdA,4.0,0,0,
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,3,0,100.0
10,2l-spLLGUzRiZg8dF623Nw,4.0,3,0,100.0
11,2nk4hq2oRfym8ROQ5iS47g,4.5,0,0,
12,3Wy21heeDm8h2tSZfcj6OA,4.5,51,3,94.44444444444444
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,6,0,100.0
14,4FdsX3MbkcdBRAr1aymF6A,4.5,2,0,100.0
15,4IqrY1mXK65HgrrgkpE-cw,4.5,0,0,
16,4KAuy-zNBxD9QvnkldwEww,4.0,0,0,
17,4kfbEcAMepvkjt3H7INYBg,4.5,1,0,100.0
18,4xhGQGdGqU60BIznBjqnuA,4.0,0,0,
19,52ov7d0148JvYG78_c-Bsw,4.0,0,0,
20,5bDjg02rlg6ODEUT-UQT-A,3.5,1,0,100.0
21,5uNCvNy9L6peKeKP1RRPyg,3.5,3,3,50.0
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,9,1,90.0
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,6,0,100.0
24,7yR4oQcapZBKCkRLB3Isig,2.5,10,1,90.9090909090909
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,0,0,
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,22,1,95.65217391304348
27,9xW7LsJpyhVZFRb6z9xorg,4.0,5,0,100.0
28,A7Uwcr1BjasB6BWke1hrfA,5.0,0,0,
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,0,0,
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,0,0,
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,0,0,
32,DD3TxygdxBxKh9gbjCuLDA,4.5,0,0,
33,DOfiulOub9hVPBCtiDl9Fw,4.0,1,1,50.0
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,0,0,
35,DcRfabRzYkddMEUFyPMBgw,3.0,0,0,
36,E6HHiJMCpTkjOsSly3kzeA,4.5,0,0,
37,EZc2myE2mYk2h9JK9qu8gw,4.5,14,2,87.5
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,6,0,100.0
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,4,2,66.66666666666667
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,2,1,66.66666666666667
41,FpNhzu3w0XgyedhOLDuK8g,4.5,1,0,100.0
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,0,0,
43,H-1qpp_77KggOAr9htUrEw,4.0,11,4,73.33333333333333
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,10,0,100.0
45,HJ_rOClY2RPrdervYopKmQ,4.0,1,1,50.0
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,0,0,
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,0,0,
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,2,0,100.0
49,IljCDlZnTftfZEruqa4sRQ,4.0,0,0,
50,KSYONgGtrK0nKXfroB-bwg,4.5,6,0,100.0
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,1,0,100.0
52,L9QTAucz_in5f-ufCrvb1Q,3.5,1,0,100.0
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,0,0,
54,LtxG9DTXCFpteVkD4SGBlw,4.0,1,0,100.0
55,LuPK46HMxRYEVTXVbBCR1g,4.0,11,2,84.61538461538461
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,
57,MAIfD4kJDCydgoD1l2b_vw,4.0,0,0,
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,0,0,
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,20,6,76.92307692307692
60,POSwCH5XrPTMRILJaNAjAQ,5.0,0,0,
61,PPcz-0UtIJ8O7xDT551y2g,4.5,5,0,100.0
62,PgtqA056auCp5EbcZMbXPQ,3.5,7,3,70.0
63,QBNATcq7Stx9LxcSq16W7w,4.5,1,0,100.0
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,2,1,66.66666666666667
65,R93mEcQ1pjq7q3LzShi3ow,5.0,0,0,
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,9,1,90.0
67,RzgQioExrGZDkY3vNuziOQ,4.0,0,0,
68,S8saWaZlToeNoloR2fMrAQ,4.5,0,0,
69,SZU9c8V2GuREDN5KgyHFJw,4.0,41,7,85.41666666666667
70,SeneXbKmhHhPtzyTDPDnvA,4.0,0,0,
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,0,0,
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,30,8,78.94736842105263
73,U3grYFIeu6RgAAQgdriHww,4.0,22,0,100.0
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,1,0,100.0
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,0,0,
76,USVks6B2Xkf0WLmLIiXqMA,3.5,19,1,95.0
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,
78,VJKpVv_l1g943WK6fxwZKQ,3.5,0,0,
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,0,0,
80,Vg0oTgDyRwi73D5zRywrlg,4.0,0,0,
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,0,0,
82,Y57sylYCgq2VQJuBCnjPfA,4.0,11,1,91.66666666666667
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,8,1,88.88888888888889
84,ZKi4F9BlA46rLvLyeIE3VA,3.5,7,1,87.5
85,_P-0kP5DboEd5p0OqDorFA,4.5,0,0,
86,_dNk5IpkVVyN2nWMXTA2eA,4.5,0,0,
87,apmw_lkLdwWbeYiI9ysdJg,4.5,0,0,
88,b5hxsRw76UUXcotxlCipuQ,3.5,14,2,87.5
89,c-W17u2jiFOD2H_d6uo-bQ,4.5,0,0,
90,cAbdvzqtFLaAAMFIyPf2AA,4.0,9,0,100.0
91,cQDwJjslebJv5Co7gCm2Yw,4.0,0,0,
92,c_a38vt6v2tRq-VjdTZHZw,4.0,1,0,100.0
93,cyaDjqjhtRbpd5Og5dFoZg,2.5,0,0,
94,d0E938M2_4kcuULUdnj-Xw,4.5,0,0,
95,df_UStxBFDYNSd-ngoR1-w,4.5,0,0,
96,dutm97q2F4a6RV6YQ0uLHw,5.0,0,0,
97,e76uCbhmK8oqAtYAkxB2Qg,4.5,0,0,
98,eHRzuUXA2jrR99ecioWU4g,3.5,0,0,
99,eL4lyE7LNoXEMvpcJ8WNVw,4.0,0,0,
100,eX7o_-s5TmDT-DMfTV4cmw,4.0,11,2,84.61538461538461
101,fO89arPgWzq_1YYQYLS4Yw,4.5,0,0,
102,fiQxkb1pfPpvrr0oYYYBcA,5.0,1,0,100.0
103,fnGZspqyamRremXor0sAyg,4.0,0,0,
104,fqStx0SvwMFChX_HIdUeEQ,4.0,16,2,88.88888888888889
105,g0lCOgLkkByZrhmwYzP5KA,4.5,0,0,
106,g6VJ6y-AzDGQy0Gj91UvUw,4.0,0,0,
107,gLNf3zUydIKc_cvUll-6gw,5.0,0,0,
108,gYrHa4CckDjgOQc5B-yTKA,4.0,0,0,
109,gdEZfd6RFXYmmXX71RDvbA,4.5,0,0,
110,gkqfm6mTim9Rwopwjayc8w,5.0,0,0,
111,iBBV8vesQ8fo2IQA7an1JA,4.0,11,3,78.57142857142857
112,iBTc6XKgW5HESEZIii-G4g,4.5,0,0,
113,ixROUxJqrczeYUT0z0MCHg,5.0,0,0,
114,j1yb8y-jFwpG_hW9AH3PrQ,5.0,0,0,
115,j8c8WFqySY1eybnkJfgjSg,4.0,0,0,
116,jKocMyXjEqgb9dL9S5vrEA,4.0,0,0,
117,jMlE4wvspc0J-oN-SYUjQw,4.5,1,0,100.0
118,j_m8zce-jSRQn5JmC633GQ,4.5,1,0,100.0
119,jfRq1KtjEGyPoMo9HZVw2Q,3.5,1,0,100.0
